Latitude,Longitude,ntl
30.36249964,78.52916681,0.779
26.62083295,75.08750012,0.81842
13.96666618,77.84166681,0.39751
25.40833294,85.92083354,0.95778
11.91666616,79.12083349,0.46551000000000003
21.52499957,87.08750022,0.71038
26.42916628,88.31250023,0.7831600000000001
28.12083296,76.70000013,1.38375
24.07916626,88.23333356,2.00218
25.01666627,77.33750014,0.40329
24.5999996,81.60000017,0.7518199999999999
25.10416627,73.03333344,0.69214
25.24583294,87.57916689,1.06786
27.84166629,73.70000011,0.56963
13.09583284,77.34583347,1.7824200000000001
12.6999995,77.52083347,0.8513799999999999
21.82499957,85.98333354,0.37501999999999996
20.98749957,71.51666676,0.58686
16.91249954,79.77916682,0.71948
20.39999956,81.40000017,0.65082
24.69583293,80.93750017,1.41784
11.59166616,78.29583348,0.71585
26.22499961,80.19583349,0.75403
16.4416662,81.90416684,3.0835
26.70416628,85.2500002,0.39457
23.08749958,78.73333348,0.56688
22.97916625,83.35416685,0.41567
13.82499951,78.03333348,0.29266
29.28749963,76.38333346,1.23275
25.00833293,78.42500015,0.40357
22.41249958,73.0125001,1.5203799999999998
26.51249961,72.71666677,0.46845
16.69583287,78.82083348,0.7393
26.25833294,80.91666683,0.55978
23.82083292,81.15000017,0.42678
15.24166619,77.05000014,0.8453
26.27916628,91.49583359,0.83925
25.2624996,77.85000014,0.37796
19.22499955,82.32500018,0.20798000000000003
21.0583329,86.57916688,0.73052
30.27499964,75.13333345,0.68518
23.10416625,77.87916681,0.38698
24.15833293,81.02500017,0.48231999999999997
27.08333295,81.38750017,3.30942
27.49583295,76.64583347,1.3557299999999999
26.36666628,81.71250017,0.66018
14.24999951,77.05833347,0.42093
24.02916626,84.4625002,0.35349
26.71249961,77.00833347,2.62165
22.47083291,70.22500008,0.54596
20.8958329,83.93333352,0.8674700000000001
23.25416625,80.00416683,2.04547
23.80833292,91.24166692,2.96545
29.64583297,79.11666682,0.34793
26.52499961,93.92500027,0.72665
17.72499954,79.88333349,0.51268
18.94583288,77.51666681,0.74343
25.4624996,75.21666679,0.63851
33.28749967,74.31250011,1.23888
11.72499949,76.6041668,0.32861999999999997
29.44999964,78.45000015,1.1842
10.97499949,77.05833347,2.75482
23.30416625,79.65000016,0.69206
21.1208329,73.07083344,1.22034
18.18333288,75.01250012,0.5484100000000001
10.43333282,77.82083348,0.79818
13.34166617,77.85416681,0.70082
22.35833291,82.03333351,1.90304
22.24583291,85.39166687,0.46265
15.26249952,74.03750011,1.9222700000000001
19.58749956,74.09166678,0.94168
29.84583297,75.20416679,0.85951
27.92083296,81.17916684,0.50478
27.78749962,76.9916668,1.29383
22.48333291,70.11250008,3.11026
20.04166623,86.27916688,0.65358
9.17916614,77.89583348,2.31827
27.73333296,77.2916668,1.04115
27.17499962,72.34166677,0.6196699999999999
22.29583291,71.80000009,0.31605
18.79999955,74.54166678,0.42165
17.92916621,75.79166679,0.36006
23.49583292,87.24166688,2.09805
25.47916627,83.91666686,0.46151000000000003
25.21666627,88.45000023,0.52762
29.68333297,76.7541668,3.12164
18.42499955,78.53750015,0.6935600000000001
13.04583284,78.94166682,0.47201000000000004
24.49583293,81.82916684,0.58118
24.37916626,75.63750012,0.45707
18.52499955,78.18333348,0.47535
26.02083294,86.87500021,1.15688
23.21249959,80.3458335,1.4719799999999998
13.97916618,77.85833348,0.34246
18.39166621,75.20833345,0.69418
28.30416629,79.52916682,0.65672
33.53749967,74.30000011,0.81917
19.38333289,85.02083353,1.02114
16.8916662,80.41666683,0.39776
26.69166628,79.89583349,0.42018999999999995
21.23749957,70.19583341,0.45276000000000005
23.07083292,85.67500021,0.29120999999999997
11.19583282,79.42916682,1.09414
24.80416627,81.80833351,0.34463
22.21249958,80.45000016,0.19382
19.72083289,74.86250012,1.5610899999999999
16.3666662,73.78750011,0.25151999999999997
23.02083292,74.30416678,0.92648
29.19583297,77.74166681,1.59924
19.05416622,74.75416678,2.55199
26.39999961,92.59583359,1.1825
25.34583294,79.37500015,0.61238
20.86249957,86.24166688,0.64499
26.67916628,80.73750017,0.87931
20.45416623,82.12916684,1.29411
25.17083293,83.55833352,1.9090200000000002
22.09999958,74.04166678,0.8211
20.52916623,76.23750013,1.06246
22.95416625,74.14583345,0.82368
9.66249948,78.67916682,0.5381100000000001
23.59166626,74.15000011,3.09858
24.7124996,71.77500009,0.72988
23.46666625,74.07916678,0.49775
26.09583294,76.16250013,0.32831
30.45416631,77.19583347,0.5835600000000001
29.2041663,79.57916682,0.9099299999999999
25.98333294,83.27500019,0.6891
15.46249952,79.08333349,0.9880399999999999
20.62916623,78.92083348,0.91143
21.2708329,81.32500017,2.67676
26.99166628,74.55833345,1.3217
27.19999962,77.14583347,3.25749
12.74583284,78.37500015,0.78181
33.67499967,75.22083345,0.63158
27.80416629,75.77083346,1.1759700000000002
26.73749961,76.91250014,3.4159599999999997
20.7458329,83.27500019,0.2926
22.84999958,87.69583355,0.45287
30.92499965,76.35000013,0.64403
26.27499961,82.15416684,1.4532100000000001
23.00833292,74.35833345,0.54279
12.47916617,80.13333349,0.44061000000000006
17.09999954,74.80416678,0.4354
26.78749961,78.24166681,0.5908899999999999
24.00416626,87.10000022,0.43733
14.47083285,78.87916682,0.79867
29.60833297,79.77083349,0.47636000000000006
25.67499961,82.37500018,0.45943
17.17083287,74.08333345,0.28748
28.75833296,78.73333348,0.90466
22.94166625,72.61666677,7.12087
17.50833287,78.24166681,4.4991900000000005
22.77083292,72.79166677,1.02377
23.00833292,73.25000011,0.57673
13.42083284,79.20833349,0.39492
24.79583293,87.95000022,1.1203299999999998
26.83333295,94.25000027,0.6227199999999999
25.10833293,92.90000026,0.52222
32.02499966,75.12083345,0.60801
16.54999953,82.12500018,0.7286100000000001
27.60416629,72.2375001,1.38174
24.19999959,72.37916677,0.8303
25.61249961,86.92500022,0.63071
25.24166627,74.60416678,0.8059
21.84583291,86.71250021,0.9294899999999999
16.5166662,74.08333345,0.38648000000000005
25.39166627,81.78750017,1.6984599999999999
33.26666633,74.31250011,0.54572
18.38749955,76.41250013,0.55766
26.01249961,73.83333344,0.37181
21.59999957,71.67916676,0.37998000000000004
30.09583297,76.95000014,1.11194
26.69583295,82.25000018,0.7823
17.93333288,77.36666681,0.53222
14.31249951,79.92083349,2.20044
23.57499959,86.67083355,0.9183100000000001
26.21249961,80.99166683,1.06675
20.5208329,74.13750011,0.50361
20.5083329,86.14583354,1.3462399999999999
25.03333293,71.80000009,0.43262
27.39583295,76.12500013,2.2450799999999997
31.09583298,74.72083345,0.68114
24.62083293,75.02083345,0.35455
24.29999959,86.80833355,0.43676000000000004
21.17499957,79.19166682,1.82647
28.81249963,75.90416679,0.47263999999999995
12.57083283,79.38333349,0.79094
23.57916626,73.07083344,0.9418
24.28333293,84.06666686,0.2378
23.64166626,77.45416681,0.473
23.29999959,85.42083354,3.08881
17.88333288,81.77083351,0.26984
28.6416663,78.85000015,0.51888
19.79166623,75.10416679,0.37335999999999997
27.33749962,79.45833349,0.33303
25.83749961,85.29583354,0.8685299999999999
29.34999963,77.95833348,0.44191
22.03749958,78.98333349,0.99854
27.74999962,75.14166679,1.0949799999999998
31.12499965,76.59583347,0.6632899999999999
23.77499959,86.87916688,7.287939999999999
23.39999959,87.95833356,0.9637899999999999
26.76249961,92.16250026,1.08158
26.68749961,77.65833347,1.30856
24.5624996,73.83333344,0.9223100000000001
25.15833293,83.50000019,0.58218
27.86249962,77.27083347,1.44154
19.61666622,84.85416687,0.38355
18.84166622,78.02500014,1.7209
23.13749959,81.4458335,0.9371700000000001
26.90833295,79.33750015,1.8019
16.2791662,77.34583347,3.15636
28.05416629,73.10416677,0.35022
26.01666627,91.87916692,0.6937
27.50416629,73.73333344,0.31774
25.4749996,76.6041668,1.0900100000000001
23.69583292,78.40416681,0.36793000000000003
23.72499959,72.59583343,0.59148
25.53333294,90.32083358,0.62576
26.89166628,77.21250014,0.75248
25.07083293,87.20833355,0.50997
23.98333293,82.32083351,0.48826
16.92083287,82.10833351,1.00092
23.84999959,84.22083353,0.35353
18.57916622,83.63750019,0.44558000000000003
26.54999961,78.02083348,0.6962
24.8374996,74.22916678,0.87175
22.45416625,87.84166689,1.00962
24.5374996,86.74583355,2.07465
19.04166622,78.39166681,0.81831
31.49166632,75.15833345,0.74559
22.69166625,75.60000012,0.68692
13.00833284,76.00833346,0.64032
19.32916622,75.63333346,0.32521
18.55833288,79.92916683,0.30157
24.33333293,82.48750018,0.34160999999999997
17.33749954,78.20833348,1.04271
10.49999948,78.27500015,0.61263
30.43333298,74.12083345,0.5452199999999999
29.12083297,76.72083347,2.31203
11.40833282,79.11666682,1.6510099999999999
28.02499962,75.09583345,0.55437
21.09999957,73.14583344,0.78162
24.95416627,86.40833354,0.67633
26.23333294,76.30833346,0.591
23.07083292,72.74166677,1.28219
25.1749996,86.89166688,0.88069
27.03749962,76.67500013,1.29966
14.30833285,76.03333346,0.36629
30.24583298,77.38333347,1.11782
25.45833294,76.31250013,0.36818
12.74583284,77.49166681,1.5715
19.86666623,75.67083346,0.75507
24.15416626,72.07083343,1.3544100000000001
19.93749956,72.72916677,0.46443
15.80416619,79.81666683,0.55535
14.88333285,78.49166681,0.70324
19.18749955,76.83333347,0.77535
27.60833295,77.13750014,1.02615
32.32499966,75.67083346,1.2243899999999999
33.95416634,75.00416679,0.53471
21.2333329,82.12916684,1.47876
29.13333297,77.62083347,1.84991
27.02083295,74.07500011,0.37401
11.34583282,79.55000016,0.54825
21.51666624,81.26666684,0.5854199999999999
21.1083329,78.75000015,3.3879900000000003
20.2958329,74.25833345,0.62516
26.73749961,81.67083351,0.5566
18.61249955,78.95416682,0.47998
25.82916627,81.02916683,0.77037
25.88749961,77.79583348,0.40076999999999996
19.51249956,74.83333345,1.6557400000000002
18.71249955,79.22916682,0.54865
23.37916625,76.18333346,0.36096
16.15833286,75.62500012,0.93205
26.50833295,73.10833344,0.52628
24.50833293,76.7791668,0.67519
13.80833284,79.90833349,0.31099
22.64583291,85.92916687,0.7581
20.36249956,77.61250014,0.7866
33.00416633,75.10833345,0.38409
18.89999955,74.49166678,0.6151300000000001
25.97916627,78.24166681,0.47298999999999997
27.43333295,75.25000012,0.7729199999999999
22.90833292,74.19166678,0.51649
11.46666616,79.51250016,0.76076
10.38333282,79.85000016,2.14003
15.59583286,79.87083349,1.01973
26.12083294,80.97500017,0.88902
25.3249996,79.80833349,0.47528000000000004
24.15833293,71.75833343,0.73905
23.97499959,86.48750021,0.66388
22.11666624,88.36250023,1.38765
23.24166625,73.60000011,0.51477
25.3374996,85.80416687,0.48896999999999996
17.87916621,76.13750013,0.53457
16.20833286,80.48750016,0.44836000000000004
27.38333295,74.60833345,0.46198
17.87916621,78.72916682,0.84115
22.14166624,84.95833353,0.48896999999999996
29.96666631,76.7666668,1.9331
27.04166628,72.14583343,0.35459
21.80416624,81.10000017,1.56541
15.85416619,73.64583344,0.86114
29.27083297,78.27083348,0.55357
25.1374996,85.70000021,0.59029
27.86666629,73.48750011,1.51348
32.87916633,75.12083345,1.8747099999999999
30.99166631,75.12916679,0.50773
26.97499962,75.19166679,1.11954
12.77916617,78.63750015,0.67789
23.56249959,70.90833342,0.2294
21.2708329,83.47916685,0.51736
20.3708329,82.99166685,0.5747899999999999
26.69583295,77.72916681,0.46941000000000005
17.82499954,77.57916681,0.55281
28.19999963,78.24583348,0.68534
25.62916627,84.9125002,1.29341
27.47499962,75.59583346,5.90963
24.32499959,87.89166689,1.3078
22.09166624,71.77916676,0.60939
15.84999953,77.49166681,0.45137
12.93333284,76.78750013,0.44882
25.2999996,87.24166688,0.56157
23.24999959,88.23750023,0.6162
20.12916623,75.42500012,0.30293000000000003
25.1124996,85.3000002,0.5893
25.86666627,85.63333354,1.01867
27.12916628,78.53333348,1.4349299999999998
22.92916625,74.55000012,0.70716
27.05833295,76.61250013,3.16474
23.02916625,83.90416686,0.29693
27.21666628,76.92083347,1.34628
26.27916628,86.40833354,0.85535
23.88749959,75.89583346,5.63704
16.64583287,81.2958335,0.69226
28.14583296,95.85000029,0.62671
31.01249965,76.63333347,0.8436
27.01666628,78.57916682,1.01504
23.12083292,88.31250023,0.8338700000000001
22.44166625,74.47916678,0.33812
24.65416626,73.73333344,2.2039400000000002
14.81249952,75.49583346,0.5533600000000001
22.74166625,70.64166675,0.716
9.83333281,76.47083346,2.8033200000000003
16.76249953,78.27916681,1.48485
18.46666621,82.04166684,0.31095
23.60416626,76.50833347,0.44132
22.68749958,73.16250011,0.72421
21.80416624,69.52916674,0.5345
23.71249959,73.79583344,5.0099599999999995
19.84166623,78.89166682,0.8875299999999999
23.02916625,74.15416678,0.42786
26.10833294,86.39166688,0.42586999999999997
23.74999959,85.06666687,0.90854
17.95833288,79.64583349,2.37317
19.62916622,77.51666681,0.43483
24.7749996,84.7375002,0.49872
31.00416631,76.97083347,0.55974
12.6249995,76.13333346,0.77017
22.24583291,76.28750013,0.23840999999999998
27.55833295,76.2291668,2.21195
27.84166629,73.99583345,0.70234
17.69999954,76.97083347,1.98541
22.42499958,71.12916676,0.65409
20.94166623,78.91250015,1.27409
21.79166624,81.60416684,0.50847
30.07083297,76.19583346,0.6399699999999999
24.4749996,85.75000021,0.6419199999999999
17.32083287,82.25416684,0.46848999999999996
13.27083284,77.83333348,0.78398
25.1999996,86.09166688,1.4783899999999999
26.04166628,78.35833348,0.50732
15.82083286,79.22500015,0.58338
18.23333288,78.39166681,1.4480600000000001
21.54583291,74.44583345,0.49678999999999995
26.24999961,87.32500022,0.8941399999999999
18.05833288,76.58750013,0.8826200000000001
23.89583292,82.51666685,0.9331799999999999
31.36666632,76.73333347,0.66972
22.57083291,77.31250014,0.43814
23.94583293,78.18750015,0.46421
26.23749961,85.3125002,0.9185700000000001
20.14999956,82.95000018,0.37725
25.29166627,77.54583347,0.45064
28.47499963,79.45000016,3.3296
27.11249962,83.52916685,0.67635
27.33749962,78.00833348,4.2496599999999995
15.94583286,75.22916679,0.67167
18.80416622,73.65000011,2.05191
23.57499959,88.03333356,0.56479
15.96249953,76.9541668,7.316
17.79583288,76.66250013,0.34262
25.10416627,76.40000013,3.6824199999999996
29.3041663,77.44583347,2.45138
21.54166624,86.66666688,0.63154
25.17916627,73.31666677,0.43568999999999997
22.00416624,76.82500013,0.7095100000000001
20.38749956,79.79583349,0.22724
23.39166625,84.8750002,0.45488
27.19166628,82.57083351,0.32498
12.4249995,76.95833347,0.46353
23.05833292,86.70000021,0.42028999999999994
21.85833291,73.05416677,0.8125399999999999
26.98749962,78.94166682,5.2344800000000005
16.5041662,80.5833335,2.54097
22.19999958,80.00000016,1.07766
25.62916627,86.95000022,1.06549
21.30416624,73.0250001,0.8145
23.88333292,71.41250009,0.34539000000000003
14.33749951,75.40000012,0.46757
11.69583283,79.00000015,0.7410800000000001
14.25416618,74.80000012,0.31331
29.79999964,75.67500013,1.1627399999999999
22.64583291,71.69583343,0.45414
26.36666628,86.50000021,1.8494700000000002
23.60416626,80.8583335,0.32038
15.10833285,75.46250012,0.81955
26.68333295,84.93333353,0.67978
21.82499957,71.07083342,0.51315
17.32083287,76.23333346,0.57503
13.38749951,77.92083348,0.68165
20.99166623,84.75833353,0.41028000000000003
23.41666625,86.31666688,0.4251
17.61249954,77.30833347,0.38906999999999997
34.31666634,74.86666679,0.41301000000000004
26.68749961,73.50416677,0.7153
23.36666625,87.12916688,0.70431
27.87916629,76.75000013,1.30558
29.89583297,76.6791668,0.7874
25.86249961,81.58333351,1.19856
24.33333293,73.33750011,0.2123
25.78333294,84.35416686,0.39713000000000004
29.67499964,75.56666679,6.426069999999999
22.45416625,86.11250021,0.5854
23.72916626,75.71250013,0.41362
23.99166626,79.55416682,0.37789
21.31249957,84.09583353,0.50121
22.06666624,82.48750018,1.65707
19.32083289,84.94583353,2.78085
30.00833297,76.10000013,3.17464
27.07916628,80.92500017,1.6149799999999999
16.53333287,77.85000014,0.8064399999999999
21.71249957,83.87083352,2.73219
25.73333294,83.82083352,0.54986
23.24583292,91.46250025,5.82768
15.99583286,77.30000014,1.2483899999999999
13.31249951,79.84166683,0.44633
17.43333287,74.49583345,0.5903
24.61666626,80.82916683,0.9484100000000001
22.53749958,81.93750018,0.4904
23.20416625,87.66666689,0.75551
25.45833294,85.73750021,3.1593299999999997
26.80416628,88.82500023,0.50658
24.6874996,83.03333352,0.85156
27.70833296,78.93750015,0.56317
31.42499965,77.57916681,0.59082
24.7999996,80.9833335,0.8686299999999999
17.67083287,77.78333348,1.1435
20.34999956,77.22083347,0.85205
10.24166615,78.66250015,0.40858
21.26249957,78.22500015,0.53085
20.72499957,75.29166679,0.46848
26.08333294,84.04583353,0.52905
27.87499962,73.59166678,0.61295
24.87083293,87.59166689,0.37940999999999997
26.92083295,76.00416679,2.22931
21.38749957,77.63750014,0.29311
27.48749962,75.52916679,0.9724200000000001
27.56666629,74.49583345,0.43559
17.87916621,78.49166681,0.6232
17.37083287,79.71666682,0.29886999999999997
23.38749959,77.92083348,0.3411
31.63333299,74.94166679,7.14815
21.29999957,86.72916688,0.57906
20.64166623,76.89583347,0.84324
25.1249996,85.4625002,2.51545
21.01666623,75.50833346,6.31161
26.25416628,81.1958335,0.81501
15.13749952,76.22500013,0.33641
26.31666628,81.06250017,0.68142
23.94999959,73.73333344,0.43478
23.42916625,74.97500012,0.38211999999999996
15.36666619,76.18333346,0.79927
